transvestite	noun	T R AE0 N Z V EH1 S T AY0 T	someone who adopts the dress or manner or sexual role of the opposite sex
jointly	adverb	JH OY1 N T L IY0	in collaboration or cooperation
duplication	noun	D Y UW2 P L AH0 K EY1 SH AH0 N	a copy that corresponds to an original exactly
equatorial	noun	IY2 K W AH0 T AO1 R IY0 AH0 L	a telescope whose mounting has only two axes of motion, one parallel to the Earth's axis and the other one at right angles to it
ninja	noun	N IH1 N JH AH0	a member of the ninja who were trained in martial arts and hired for espionage or sabotage or assassinations; a person skilled in ninjutsu
percussion	noun	P ER0 K AH1 SH AH0 N	the act of playing a percussion instrument
cone	noun	K OW1 N	any cone-shaped artifact
spinning	noun	S P IH1 N IH0 NG	creating thread
spectral	adjective	S P EH1 K T R AH0 L	of or relating to a spectrum
subset	noun	S AH1 B S EH2 T	a set whose members are members of another set; a set contained within another set
followup	noun	F AA1 L OW0 AH2 P	a piece of work that exploits or builds on earlier work
simulator	noun	S IH1 M Y AH0 L EY2 T ER0	a machine that simulates an environment for the purpose of training or research
ninth	noun	N AY1 N TH	position nine in a countable series of things
nicely	adverb	N AY1 S L IY0	in a nice way
domination	noun	D AA2 M AH0 N EY1 SH AH0 N	social control by dominating
woody	adjective	W UH1 D IY0	made of or containing or resembling wood
psychic	noun	S AY1 K IH0 K	a person apparently sensitive to things beyond the natural range of perception
substrate	noun	S AH1 B S T R EY2 T	the substance that is acted upon by an enzyme or ferment
sincerely	adverb	S IH0 N S IH1 R L IY0	with sincerity; without pretense
beaten	adjective	B IY1 T AH0 N	formed or made thin by hammering
freshwater	noun	F R EH1 SH W AO2 T ER0	water that is not salty
topical	adjective	T AA1 P AH0 K AH0 L	pertaining to the surface of a body part
cocaine	noun	K OW0 K EY1 N	a narcotic (alkaloid) extracted from coca leaves; used as a surface anesthetic or taken for pleasure; can become powerfully addictive
molly	noun	M AA1 L IY0	popular aquarium fish
unbiased	adjective	AH2 N B AY1 AH0 S T	characterized by a lack of partiality
supplementary	adjective	S AH2 P L AH0 M EH1 N T ER0 IY0	functioning in a supporting capacity
parkway	noun	P AA1 R K W EY2	a wide scenic road planted with trees
duff	noun	D AH1 F	a stiff flour pudding steamed or boiled usually and containing e.g. currants and raisins and citron
beck	noun	B EH1 K	a beckoning gesture
semantics	noun	S IH0 M AE1 N T IH0 K S	the study of language meaning
restart	verb	R IY0 S T AA1 R T	start an engine again, for example
rounded	adjective	R AW1 N D AH0 D	curving and somewhat round in shape rather than jagged
mitigation	noun	M IH2 T IH0 G EY1 SH AH0 N	to act in such a way as to cause an offense to seem less serious
tome	noun	T OW1 M	a (usually) large and scholarly book
overstock	verb	OW1 V ER0 S T AA1 K	stock excessively
dioxide	noun	D AY0 AA1 K S AY2 D	an oxide containing two atoms of oxygen in the molecule
genus	noun	JH IY1 N AH0 S	a general kind of something
catching	noun	K AE1 CH IH0 NG	(baseball) playing the position of catcher on a baseball team
cutter	noun	K AH1 T ER0	someone who cuts or carves stone
torque	noun	T AO1 R K	a twisting force
renting	noun	R EH1 N T IH0 NG	the act of paying for the use of something (as an apartment or house or car)
coupling	noun	K AH1 P L IH0 NG	a connection (like a clamp or vise) between two things so they move together
holistic	adjective	HH OW0 L IH1 S T IH0 K	emphasizing the organic or functional relation between parts and the whole
childcare	noun	CH AY1 L D K EH2 R	a service involving care for other people's children
rechargeable	adjective	R IY0 CH AA1 R JH AH0 B AH0 L	capable of being recharged
discourse	noun	D IH1 S K AO0 R S	extended verbal expression in speech or writing
headache	noun	HH EH1 D EY2 K	something or someone that causes anxiety; a source of unhappiness
notwithstanding	adverb	N AA2 T W IH0 TH S T AE1 N D IH0 NG	despite anything to the contrary (usually following a concession)
deed	noun	D IY1 D	a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it
whirlpool	noun	W ER1 L P UW2 L	a powerful circular current of water (usually the result of conflicting tides)
