view	noun	5.19	a way of regarding situations or topics etc.
break	noun	5.18	some abrupt occurrence that interrupts an ongoing activity
higher	adjective	5.18	advanced in complexity or elaboration
hour	noun	5.18	a period of time equal to 1/24th of a day
member	noun	5.18	one of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
middle	noun	5.18	an area that is approximately central within some larger region
sorry	adjective	5.18	feeling or expressing regret or sorrow or a sense of loss over something done or undone
wish	noun	5.18	a specific feeling of desire
boy	noun	5.17	a youthful male person
gold	noun	5.17	coins made of gold
gone	verb	5.17	change location; move, travel, or proceed, also metaphorically
learn	verb	5.17	gain knowledge or skills
longer	noun	5.16	a person with a strong desire for something
movie	noun	5.16	a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement
sent	noun	5.16	100 senti equal 1 kroon in Estonia
tried	verb	5.16	make an effort or attempt
cool	noun	5.15	the quality of being at a refreshingly low temperature
giving	noun	5.15	the act of giving
sound	noun	5.15	the particular auditory effect produced by a given cause
production	noun	5.14	the act or process of producing something
rate	noun	5.14	a magnitude or frequency relative to a time unit
round	noun	5.14	a charge of ammunition for a single shot
stand	noun	5.14	a support or foundation
stuff	noun	5.14	the tangible substance that goes into the makeup of a physical object
whatever	adjective	5.14	one or some or every or all without specification
blue	noun	5.13	blue color or pigment; resembling the color of the clear sky in the daytime
drive	noun	5.13	the act of applying force to propel something
eat	verb	5.13	take in solid food
felt	noun	5.13	a fabric made of compressed matted animal fibers
size	noun	5.13	the physical magnitude of something (how big it is)
step	noun	5.13	any maneuver made as part of progress toward a goal
forward	noun	5.12	the person who plays the position of forward in certain games, such as basketball, soccer, or hockey
mom	noun	5.12	informal terms for a mother
paid	verb	5.12	give money, usually in exchange for goods or services
review	noun	5.12	a new appraisal or evaluation
lower	noun	5.11	the lower of two berths
natural	noun	5.11	someone regarded as certain to succeed
send	verb	5.11	cause to go somewhere
style	noun	5.11	how something is done or how it happens
dog	noun	5.10	a member of the genus Canis (probably descended from the common wolf) that has been domesticated by man since prehistoric times; occurs in many breeds
terms	noun	5.10	status with respect to the relations between people or groups
title	noun	5.10	a heading that names a statute or legislative bill; may give a brief summary of the matters it deals with
enjoy	verb	5.09	derive or receive pleasure from; get enjoyment from; take pleasure in
kill	noun	5.09	the act of terminating a life
perhaps	adverb	5.09	by chance
turned	verb	5.09	change orientation or direction, also in the abstract sense
written	verb	5.09	produce a literary work
lose	verb	5.08	fail to keep or to maintain; cease to have, either physically or in an abstract sense
pick	noun	5.08	the person or thing chosen or selected
seven	noun	5.08	the cardinal number that is the sum of six and one
