kindly	adjective	4.00	showing or motivated by sympathy and understanding and generosity
nude	noun	4.00	a painting of a naked human figure
cluster	noun	3.99	a grouping of a number of similar things
dancer	noun	3.99	a performer who dances professionally
goddamn	adjective	3.99	used as expletives
skinny	noun	3.99	confidential information about a topic or person
sore	noun	3.99	an open skin infection
weigh	verb	3.99	have a certain weight
cart	noun	3.98	a heavy open wagon usually having two wheels and drawn by an animal
hardcore	adjective	3.97	intensely loyal
portable	noun	3.97	a small light typewriter; usually with a case in which it can be carried
succession	noun	3.97	a following of one thing after another in time
sweep	noun	3.97	a wide scope
countless	adjective	3.96	too numerous to be counted
offence	noun	3.96	the action of attacking an enemy
preview	noun	3.96	an advertisement consisting of short scenes from a motion picture that will appear in the near future
rapper	noun	3.96	someone who performs rap music
toast	noun	3.96	slices of bread that have been toasted
tricky	adjective	3.96	not to be trusted; - James Agee
wreck	noun	3.96	something or someone that has suffered ruin or dilapidation
documentation	noun	3.95	confirmation that some fact or statement is true through the use of documentary evidence
lame	noun	3.95	someone who doesn't understand what is going on
quarterback	noun	3.95	(football) the person who plays quarterback
sixteen	noun	3.95	the cardinal number that is the sum of fifteen and one
anal	adjective	3.94	of or related to the anus
dull	verb	3.94	make dull in appearance
neighbourhood	noun	3.94	a surrounding or nearby region
postal	adjective	3.94	of or relating to the system for delivering mail
risky	adjective	3.94	involving risk or danger
vibe	noun	3.94	a distinctive emotional aura experienced instinctively
desktop	noun	3.93	the top of a desk
dial	noun	3.93	the face of a timepiece; graduated to show the hours
revival	noun	3.93	bringing again into activity and prominence
thankful	adjective	3.93	feeling or showing gratitude
heroin	noun	3.92	a narcotic that is considered a hard drug; a highly addictive morphine derivative; intravenous injection provides the fastest and most intense rush
luckily	adverb	3.92	by good fortune
recognise	verb	3.92	show approval or appreciation of
tenth	noun	3.92	a tenth part; one part in ten equal parts
coordinator	noun	3.91	someone whose task is to see that work goes harmoniously
meme	noun	3.91	a cultural unit (an idea or value or pattern of behavior) that is passed from one person to another by non-genetic means (as by imitation)
terribly	adverb	3.91	used as intensifiers
toss	noun	3.91	the act of flipping a coin
transgender	adjective	3.91	involving a partial or full reversal of gender
champ	noun	3.90	someone who has won first place in a competition
classics	noun	3.90	study of the literary works of ancient Greece and Rome
ditch	noun	3.90	a long narrow excavation in the earth
dope	noun	3.90	street names for marijuana
unemployed	noun	3.90	people who are involuntarily out of work (considered as a group)
bastard	noun	3.89	insulting terms of address for people who are stupid or irritating or ridiculous
fond	adjective	3.89	having or displaying warmth or affection
