alright	interjection	အဆင်ပြေတယ်|ကောင်းပြီ
belt	noun	ခါးပတ်
comic	noun	ဟာသသရုပ်ဆောင်|ကာတွန်းစာအုပ်
newly	adverb	မကြာသေးမီက|အသစ်တဖန်
racist	noun	လူမျိုးရေးခွဲခြားသူ
sexy	adjective	ဆွဲဆောင်မှုရှိသော|လိင်ဆွဲဆောင်မှုရှိသော
suck	verb	စုပ်သည်|ညံ့သည်
aspect	noun	ကဏ္ဍ|ရှုထောင့်
sheet	noun	အခင်း|စာရွက်
string	noun	ကြိုး|စာလုံးတန်း
forum	noun	ဆွေးနွေးပွဲ|ဖိုရမ်
reverse	adjective	ပြောင်းပြန်ဖြစ်သော|နောက်ပြန်ဖြစ်သော
seed	noun	မျိုးစေ့
behaviour	noun	အပြုအမူ
organisation	noun	အဖွဲ့အစည်း
regard	noun	လေးစားမှု|အမြင်
strip	noun	အစင်း|အရှည်လိုက်အပိုင်း
tube	noun	ပိုက်|ပြွန်
breast	noun	ရင်သား|ရင်ဘတ်
exit	noun	ထွက်ပေါက်|ထွက်ခွာမှု
luxury	noun	ဇိမ်ခံမှု|ဇိမ်ခံပစ္စည်း
asshole	noun	မိုက်မဲတဲ့လူ|စိတ်ညစ်စရာလူ
instant	noun	ခဏလေး|တစ်ခဏ
reader	noun	စာဖတ်သူ
teen	noun	ဆယ်ကျော်သက်
ongoing	adjective	ဆက်လက်ဖြစ်ပွားနေသော
purple	noun	ခရမ်းရောင်
underground	noun	မြေအောက်ကမ္ဘာ|လျှို့ဝှက်လှုပ်ရှားမှု
jazz	noun	ဂျက်ဇ်ဂီတ
mouse	noun	ကြွက်|မောက်စ်
piano	noun	စန္ဒရား
symbol	noun	သင်္ကေတ
cape	noun	အငူ|လည်ပင်းဖုံးအဝတ်
slide	noun	လျှောစီးကိရိယာ|ဆလိုက်
loop	noun	အဝိုင်းပတ်|ပတ်လည်ကွင်း
bass	noun	အသံနိမ့်ပိုင်း|ဘေ့စ်
dual	adjective	နှစ်မျိုးပါသော|နှစ်ပိုင်းဖြစ်သော
globe	noun	ကမ္ဘာလုံး|ကမ္ဘာ
logo	noun	အမှတ်တံဆိပ်သင်္ကေတ
parallel	adjective	အပြိုင်ဖြစ်သော|ယှဉ်ပြိုင်တည်ရှိသော
anime	noun	ဂျပန်ကာတွန်း
classical	adjective	ဂန္ထဝင်ဆန်သော|ဂန္ထဝင်ဂီတဆိုင်ရာ
clip	noun	ကလစ်|ဗီဒီယိုအတို
menu	noun	မီနူး|အစားအသောက်စာရင်း
realise	verb	သဘောပေါက်သည်|နားလည်သိရှိသည်
alpha	noun	အယ်လ်ဖာ
powder	noun	အမှုန့်
