chalk	noun	မြေဖြူ|မြေဖြူခဲ
councillor	noun	ကောင်စီအဖွဲ့ဝင်
entirety	noun	အားလုံး|တစ်ခုလုံး
flock	noun	တိရစ္ဆာန်အုပ်|အုပ်စု
footballer	noun	ဘောလုံးသမား
hemisphere	noun	ကမ္ဘာခြမ်း
lastly	adverb	နောက်ဆုံးအနေနဲ့
neighbour	noun	အိမ်နီးချင်း
persona	noun	လူမြင်ပုံရိပ်|ဇာတ်ကောင်ပုံစံ
realism	noun	လက်တွေ့ဆန်မှု|လက်တွေ့ဝါဒ
scrub	verb	တိုက်ချွတ်သန့်ရှင်းသည်
shale	noun	ရွှံ့ကျောက်
sophomore	noun	ဒုတိယနှစ်ကျောင်းသား
tinder	noun	မီးကူးလွယ်သောပစ္စည်း
countdown	noun	နောက်ပြန်ရေတွက်ခြင်း
investigative	adjective	စုံစမ်းစစ်ဆေးရေးဆိုင်ရာ
obese	adjective	အလွန်အဝလွန်သော
perimeter	noun	ပတ်လည်နယ်နိမိတ်|ပတ်လည်အလျား
sushi	noun	ဆူရှီ
turnout	noun	တက်ရောက်သူအရေအတွက်|မဲပေးသူအရေအတွက်
commercially	adverb	စီးပွားရေးအရ
gladly	adverb	ဝမ်းမြောက်စွာ|လိုလိုလားလား
honourable	adjective	ဂုဏ်သိက္ခာရှိသော|လေးစားဖွယ်ကောင်းသော
irresponsible	adjective	တာဝန်မဲ့သော
rant	noun	စိတ်ဆိုးပြီးအရှည်ကြီးပြောခြင်း|အပြင်းအထန်ဝေဖန်ပြောဆိုမှု
apologise	verb	တောင်းပန်သည်
crunch	noun	ကြွပ်ကြွပ်မြည်သံ|အရေးအကြပ်အတည်း
