confederation	noun	3.45	K AH0 N F EH2 D ER0 EY1 SH AH0 N	the state of being allied or confederated
digitally	adverb	3.45	D IH1 JH AH0 T AH0 L IY0	by means of the fingers
discord	noun	3.45	D IH1 S K AO0 R D	lack of agreement or harmony
dorsal	adjective	3.45	D AO1 R S AH0 L	belonging to or on or near the back or upper surface of an animal or organ or part
endeavour	noun	3.45	IH0 N D EH1 V ER0	a purposeful or industrious undertaking (especially one that requires effort or boldness)
entertainer	noun	3.45	EH2 N T ER0 T EY1 N ER0	a person who tries to please or amuse
finalist	noun	3.45	F AY1 N AH0 L IH0 S T	a contestant who reaches the final stages of a competition
gadget	noun	3.45	G AE1 JH AH0 T	a device or control that is very useful for a particular job
genital	adjective	3.45	JH EH1 N AH0 T AH0 L	of or relating to the external sex organs
gong	noun	3.45	G AO1 NG	a percussion instrument consisting of a metal plate that is struck with a softheaded drumstick
inlet	noun	3.45	IH1 N L EH2 T	an arm off of a larger body of water (often between rocky headlands)
kudos	noun	3.45	K UW1 D OW0 S	an expression of approval and commendation
lieu	noun	3.45	L UW1	the post or function properly or customarily occupied or served by another
loch	noun	3.45	L AA1 K	a long narrow inlet of the sea in Scotland (especially when it is nearly landlocked)
mistakenly	adverb	3.45	M IH0 S T EY1 K AH0 N L IY0	in a mistaken manner
mould	noun	3.45	M OW1 L D	loose soil rich in organic matter
neuroscience	noun	3.45	N Y UH1 R OW0 S AY2 AH0 N S	the scientific study of the nervous system
patronage	noun	3.45	P AE1 T R AH0 N IH0 JH	the act of providing approval and support
pong	noun	3.45	P AO1 NG	an unpleasant smell
prosper	verb	3.45	P R AA1 S P ER0	make steady progress; be at the high point in one's career or reach a high point in historical significance or importance
racer	noun	3.45	R EY1 S ER0	someone who drives racing cars at high speeds
recap	noun	3.45	R IY1 K AE2 P	a summary at the end that repeats the substance of a longer discussion
rendition	noun	3.45	R EH0 N D IH1 SH AH0 N	a performance of a musical composition or a dramatic role etc.
scientifically	adverb	3.45	S AY2 AH0 N T IH1 F IH0 K AH0 L IY0	with respect to science; in a scientific way
strategically	adverb	3.45	S T R AH0 T IY1 JH IH0 K L IY0	with regard to strategy
stripper	noun	3.45	S T R IH1 P ER0	a chemical compound used to remove paint or varnish
stump	noun	3.45	S T AH1 M P	the base part of a tree that remains standing after the tree has been felled
unfold	verb	3.45	AH0 N F OW1 L D	develop or come to a promising stage
artificially	adverb	3.44	AA2 R T AH0 F IH1 SH AH0 L IY0	not according to nature; not by natural means
brightly	adverb	3.44	B R AY1 T L IY0	with brightness
duly	adverb	3.44	D UW1 L IY0	at the proper time
environmentally	adverb	3.44	IH0 N V AY2 R AH0 N M EH1 N T AH0 L IY0	for the environment
federally	adverb	3.44	F EH1 D ER0 AH0 L IY0	by federal government
invariably	adverb	3.44	IH2 N V EH1 R IY0 AH0 B L IY0	without variation or change, in every case
jubilee	noun	3.44	JH UW1 B AH0 L IY2	a special anniversary (or the celebration of it)
medically	adverb	3.44	M EH1 D AH0 K L IY0	involving medical practice
outset	noun	3.44	AW1 T S EH2 T	the time at which something is supposed to begin
parry	noun	3.44	P EH1 R IY0	(fencing) blocking a lunge or deflecting it with a circular motion of the sword
purposely	adverb	3.44	P ER1 P AH0 S L IY0	with intention; in an intentional manner
reclaim	verb	3.44	R IY0 K L EY1 M	claim back
redevelopment	noun	3.44	R IY2 D IH0 V EH1 L AH0 P M AH0 N T	the act of improving by renewing and restoring
repayment	noun	3.44	R IY0 P EY1 M AH0 N T	the act of returning money received previously
sectional	noun	3.44	S EH1 K SH AH0 N AH0 L	a piece of furniture made up of sections that can be arranged individually or together
bearer	noun	3.43	B EH1 R ER0	someone whose employment involves carrying something
clement	adjective	3.43	K L EH1 M AH0 N T	(of weather or climate) physically mild
glossy	noun	3.43	G L AO1 S IY0	a magazine printed on good quality paper
homelessness	noun	3.43	HH OW1 M L AH0 S N AH0 S	the state or condition of having no home (especially the state of living in the streets)
manifestation	noun	3.43	M AE2 N AH0 F EH0 S T EY1 SH AH0 N	a clear appearance
mildly	adverb	3.43	M AY1 L D L IY0	to a moderate degree
nutshell	noun	3.43	N AH1 T SH EH2 L	the shell around the kernel of a nut
