pornographic	adjective	3.18	P AO2 R N AH0 G R AE1 F IH0 K	designed to arouse lust
refrigeration	noun	3.18	R IH0 F R IH2 JH ER0 EY1 SH AH0 N	the process of cooling or freezing (e.g., food) for preservative purposes
rename	verb	3.18	R IY0 N EY1 M	assign a new name to
respite	noun	3.18	R EH1 S P IH0 T	a (temporary) relief from harm or discomfort
saber	noun	3.18	S EY1 B ER0	a fencing sword with a v-shaped blade and a slightly curved handle
sewn	adjective	3.18	S OW1 N	fastened with stitches
shaggy	adjective	3.18	SH AE1 G IY0	used of hair; thick and poorly groomed
slant	noun	3.18	S L AE1 N T	a biased way of looking at or presenting something
sulphur	noun	3.18	S AH1 L F ER0	an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions)
tout	noun	3.18	T AW1 T	someone who buys tickets to an event in order to resell them at a profit
transnational	adjective	3.18	T R AE0 N S N AE1 SH AH0 N AH0 L	involving or operating in several nations or nationalities
unbeatable	adjective	3.18	AH2 N B IY1 T AH0 B AH0 L	hard to defeat
bouncy	adjective	3.17	B AW1 N S IY0	elastic; rebounds readily
coliseum	noun	3.17	K AA2 L AH0 S IY1 AH0 M	an oval large stadium with tiers of seats; an arena in which contests and spectacles are held
contiguous	adjective	3.17	K AH0 N T IH1 G Y UW0 AH0 S	very close or connected in space or time
councilman	noun	3.17	K AW1 N S AH0 L M AH0 N	a man who is a council member
croft	noun	3.17	K R AO1 F T	a small farm worked by a crofter
disarmament	noun	3.17	D IH0 S AA1 R M AH0 M AH0 N T	act of reducing or depriving of arms
divergence	noun	3.17	D AY0 V ER1 JH AH0 N S	the act of moving away in different direction from a common point
doubly	adverb	3.17	D AH1 B L IY0	to double the degree
equivalence	noun	3.17	IH0 K W IH1 V AH0 L AH0 N S	essential equality and interchangeability
greyhound	noun	3.17	G R EY1 HH AW2 N D	a tall slender dog of an ancient breed noted for swiftness and keen sight; used as a racing dog
hardness	noun	3.17	HH AA1 R D N AH0 S	a quality of water that contains dissolved mineral salts that prevent soap from lathering
hilly	adjective	3.17	HH IH1 L IY0	having hills and crags
hone	noun	3.17	HH OW1 N	a whetstone made of fine gritstone; used for sharpening razors
hotspot	noun	3.17	HH AA1 T S P AA2 T	a place of political unrest and potential violence
humbly	adverb	3.17	HH AH1 M B L IY0	in a humble manner
infestation	noun	3.17	IH2 N F EH1 S T EY1 SH AH0 N	a swarm of insects that attack plants
laziness	noun	3.17	L EY1 Z IY0 N AH0 S	inactivity resulting from a dislike of work
madly	adverb	3.17	M AE1 D L IY0	in an uncontrolled manner
miserably	adverb	3.17	M IH1 Z ER0 AH0 B L IY0	in a miserable manner
mutilation	noun	3.17	M Y UW2 T AH0 L EY1 SH AH0 N	an injury that causes disfigurement or that deprives you of a limb or other important body part
nifty	adjective	3.17	N IH1 F T IY0	very good
palladium	noun	3.17	P AH0 L EY1 D IY0 AH0 M	a silver-white metallic element of the platinum group that resembles platinum; occurs in some copper and nickel ores; does not tarnish at ordinary temperatures and is used (alloyed with gold) in jewelry
piazza	noun	3.17	P IY0 AE1 Z AH0	a public square with room for pedestrians
promenade	noun	3.17	P R AA2 M AH0 N EY1 D	a formal ball held for a school class toward the end of the academic year
pronoun	noun	3.17	P R OW1 N AW0 N	a function word that is used in place of a noun or noun phrase
proximal	adjective	3.17	P R AA1 K S AH0 M AH0 L	situated nearest to point of attachment or origin
rapport	noun	3.17	R AE0 P AO1 R	a relationship of mutual understanding or trust and agreement between people
rudimentary	adjective	3.17	R UW2 D AH0 M EH1 N T ER0 IY0	being or involving basic facts or principles
seine	noun	3.17	S EY1 N	a large fishnet that hangs vertically, with floats at the top and weights at the bottom
skim	noun	3.17	S K IH1 M	a thin layer covering the surface of a liquid
stardust	noun	3.17	S T AA1 R D AH2 S T	a dreamy romantic or sentimental quality
stereotypical	adjective	3.17	S T EH2 R IY0 OW0 T IH1 P IH0 K AH0 L	lacking spontaneity or originality or individuality
uncharted	adjective	3.17	AH0 N CH AA1 R T IH0 D	(of unknown regions) not yet surveyed or investigated
unsigned	adjective	3.17	AH0 N S AY1 N D	lacking a signature
unspoken	adjective	3.17	AH0 N S P OW1 K AH0 N	not made explicit
vendetta	noun	3.17	V EH0 N D EH1 T AH0	a feud in which members of the opposing parties murder each other
weakly	adjective	3.17	W IY1 K L IY0	lacking bodily or muscular strength or vitality
wiener	noun	3.17	W IY1 N ER0	a smooth-textured sausage of minced beef or pork usually smoked; often served on a bread roll
