apologetically	adverb	တောင်းပန်သလိုဖြင့်
beamish	adjective	ပျော်ရွှင်မျှော်လင့်ချက်ရှိစွာပြုံးနေသော
brigantine	noun	ရွက်တိုင်နှစ်တိုင်ပါရွက်သင်္ဘောတစ်မျိုး
chide	verb	ပြစ်တင်ဆူပူသည်
coffer	noun	ငွေသေတ္တာကြီး|ဘဏ္ဍာတိုက်
copulate	verb	လိင်ဆက်ဆံသည်
cosmetically	adverb	အလှအပတိုးတက်စေရန်ရည်ရွယ်၍
cruse	noun	အရည်ထည့်သောအိုးငယ်
decamp	verb	တပ်စခန်းမှထွက်ခွာသည်|အလျင်အမြန်ထွက်ပြေးသည်
decommission	verb	အသုံးပြုမှုမှတရားဝင်ရပ်ဆိုင်းသည်
demagoguery	noun	လူထု၏စိတ်ခံစားချက်ကိုအသုံးချ၍ထောက်ခံမှုရယူသောနိုင်ငံရေးစကားပြောနည်း
discolor	verb	အရောင်ပျက်သည်|အရောင်ပြောင်းသည်
dumbstruck	adjective	အလွန်အံ့သြ၍စကားမပြောနိုင်သော
dumper	noun	အမှိုက်သို့မဟုတ်ပစ္စည်းချနိုင်သောထရပ်ကား
earwax	noun	နားဖာချေး
eightfold	adjective	ရှစ်ဆရှိသော|အစိတ်အပိုင်းရှစ်ခုပါသော
emanation	noun	ထွက်ပေါ်လာသောအရာ|ဖြာထွက်မှု
esthetics	noun	အလှအပနှင့်အနုပညာတန်ဖိုးလေ့လာသောပညာ
gangly	adjective	အရပ်ရှည်ပိန်ပြီးလက်ခြေရှည်လျားသော
gladiolus	noun	ပန်းတိုင်ရှည်တစ်လျှောက်ပန်းပွင့်သောအပင်တစ်မျိုး
inactivate	verb	မလှုပ်ရှားနိုင်အောင်လုပ်သည်|အသုံးပြုမှုမှရပ်ဆိုင်းသည်
indecisiveness	noun	ဆုံးဖြတ်ချက်မချနိုင်မှု
interscholastic	adjective	ကျောင်းများအကြားပြိုင်ပွဲသို့မဟုတ်ပူးပေါင်းမှုနှင့်ဆိုင်သော
intron	noun	ပရိုတင်းမပြောင်းလဲထုတ်လုပ်သည့်မျိုးဗီဇအတွင်းအပိုင်း
jingoism	noun	အလွန်အကျွံအမျိုးသားရေးစိတ်ဖြင့်ပြင်းထန်သောနိုင်ငံခြားရေးမူဝါဒကိုထောက်ခံခြင်း
jingoistic	adjective	အလွန်အကျွံအမျိုးသားရေးစိတ်ပြင်းထန်သော
landward	adverb	ကုန်းမြေဘက်သို့
legionnaire	noun	တပ်ဖွဲ့ကြီးတစ်ခု၏စစ်သား
lief	adverb	လိုလိုလားလား
linguine	noun	ပြားရှည်ပါစတာတစ်မျိုး
liquefy	verb	အရည်ဖြစ်အောင်ပြောင်းသည်|အရည်ဖြစ်သွားသည်
moralist	noun	ကျင့်ဝတ်တရားကိုအထူးအလေးထားသူ
mosey	verb	အေးအေးဆေးဆေးလမ်းလျှောက်သည်
myocardium	noun	နှလုံးနံရံ၏အလယ်ကြွက်သားလွှာ
