puckish	adjective	ဆိုးနွဲ့ပြီး အပျော်သဘောရှိသော
ratable	adjective	အဆင့်သတ်မှတ်နိုင်သော
rimless	adjective	ဘောင်မရှိသော
salable	adjective	ရောင်းချနိုင်သော
satiric	adjective	သရော်လှောင်ပြောင်သဘောရှိသော
shivery	adjective	တုန်ယင်စေသော
sickish	adjective	အနည်းငယ်နေမကောင်းသလိုသော
slivery	adjective	ပါးလွှာသောအစများကဲ့သို့သော
spidery	adjective	ပင့်ကူကဲ့သို့ ပါးရှည်သော
sulkily	adverb	စိတ်ကောက်စွာ
tactual	adjective	ထိတွေ့ခံစားမှုနှင့်ဆိုင်သော
tiredly	adverb	ပင်ပန်းနွမ်းနယ်စွာ
totemic	adjective	တိုတမ်သင်္ကေတနှင့်ဆိုင်သော
useable	adjective	အသုံးပြုနိုင်သော
vocalic	adjective	သရသံနှင့်ဆိုင်သော
voltaic	adjective	လျှပ်စစ်ဓာတ်နှင့်ဆိုင်သော
vulpine	adjective	မြေခွေးကဲ့သို့ လိမ္မာပါးနပ်သော
wailful	adjective	ငိုကြွေးသံပြည့်သော
wakeful	adjective	မအိပ်ဘဲ နိုးကြားနေသော
waxlike	adjective	ဖယောင်းကဲ့သို့သော
winless	adjective	အနိုင်မရသေးသော
babelike	adjective	ကလေးငယ်ကဲ့သို့သော
canonist	adjective	သာသနာဥပဒေနှင့်ဆိုင်သော
casebook	adjective	ဖြစ်ရပ်လေ့လာစာအုပ်ဆန်သော
chockful	adjective	လုံးဝပြည့်နှက်နေသော
draughty	adjective	လေဝင်လေထွက်များသော
drearily	adverb	ညှိုးနွမ်းပျင်းရိဖွယ်စွာ
drugless	adjective	ဆေးဝါးမပါသော
enviably	adverb	အားကျစရာကောင်းလောက်အောင်
fusiform	adjective	ချည်လုံးတံပုံ ရှည်ဝိုင်းသော
gibelike	adjective	လှောင်ပြောင်သလိုသော
gloomily	adverb	မှောင်မိုက်စိတ်ညစ်စွာ
guiltily	adverb	အပြစ်ရှိသလို
handless	adjective	လက်မရှိသော
hermetic	adjective	လေလုံပိတ်ထားသော
killable	adjective	သတ်နိုင်သော
lamblike	adjective	သိုးကလေးကဲ့သို့ နူးညံ့သော
monaural	adjective	အသံလမ်းကြောင်းတစ်ခုတည်းရှိသော
motional	adjective	လှုပ်ရှားမှုနှင့်ဆိုင်သော
numinous	adjective	မြင့်မြတ်ဆန်းကြယ်သည့်ခံစားချက်ရှိသော
pathless	adjective	လမ်းမရှိသော
placidly	adverb	တည်ငြိမ်အေးဆေးစွာ
playable	adjective	ကစားနိုင်သော
